Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_80_1167,VPWR,li1,540.2700,223.0400,1.800000
FILLER_80_1164,VPWR,li1,538.8900,223.0400,1.800000
FILLER_80_1161,VPWR,li1,537.5100,223.0400,1.800000
FILLER_80_1158,VPWR,li1,536.1300,223.0400,1.800000
FILLER_80_1155,VPWR,li1,534.7500,223.0400,1.800000
FILLER_80_1152,VPWR,li1,533.3700,223.0400,1.800000
FILLER_80_1149,VPWR,li1,531.9900,223.0400,1.800000
FILLER_80_1145,VPWR,li1,530.1500,223.0400,1.800000
FILLER_80_1142,VPWR,li1,528.7700,223.0400,1.800000
FILLER_80_1139,VPWR,li1,527.3900,223.0400,1.800000
FILLER_80_1136,VPWR,li1,526.0100,223.0400,1.800000
FILLER_80_1133,VPWR,li1,524.6300,223.0400,1.800000
FILLER_80_1130,VPWR,li1,523.2500,223.0400,1.800000
FILLER_80_1127,VPWR,li1,521.8700,223.0400,1.799999
FILLER_80_1124,VPWR,li1,520.4900,223.0400,1.799999
FILLER_80_1121,VPWR,li1,519.1100,223.0400,1.799999
FILLER_80_1117,VPWR,li1,517.2700,223.0400,1.799999
FILLER_80_1114,VPWR,li1,515.8900,223.0400,1.799999
FILLER_80_1111,VPWR,li1,514.5100,223.0400,1.799999
FILLER_80_1108,VPWR,li1,513.1300,223.0400,1.799999
FILLER_80_1105,VPWR,li1,511.7500,223.0400,1.799999
FILLER_80_1102,VPWR,li1,510.3700,223.0400,1.799999
FILLER_80_1099,VPWR,li1,508.9900,223.0400,1.799999
FILLER_80_1096,VPWR,li1,507.6100,223.0400,1.799999
FILLER_80_1093,VPWR,li1,506.2300,223.0400,1.799999
FILLER_80_1089,VPWR,li1,504.3900,223.0400,1.799999
FILLER_80_1086,VPWR,li1,503.0100,223.0400,1.799999
FILLER_80_1083,VPWR,li1,501.6300,223.0400,1.799999
FILLER_80_1080,VPWR,li1,500.2500,223.0400,1.799999
FILLER_80_1077,VPWR,li1,498.8700,223.0400,1.799998
FILLER_80_1074,VPWR,li1,497.4900,223.0400,1.799998
FILLER_80_1071,VPWR,li1,496.1100,223.0400,1.799998
FILLER_80_1068,VPWR,li1,494.7300,223.0400,1.799998
FILLER_80_1065,VPWR,li1,493.3500,223.0400,1.799998
FILLER_80_1061,VPWR,li1,491.5100,223.0400,1.799998
FILLER_80_1058,VPWR,li1,490.1300,223.0400,1.799998
FILLER_80_1055,VPWR,li1,488.7500,223.0400,1.799998
FILLER_80_1052,VPWR,li1,487.3700,223.0400,1.799998
FILLER_80_1049,VPWR,li1,485.9900,223.0400,1.799998
FILLER_80_1046,VPWR,li1,484.6100,223.0400,1.799998
FILLER_80_1043,VPWR,li1,483.2300,223.0400,1.799997
FILLER_80_1040,VPWR,li1,481.8500,223.0400,1.799997
FILLER_80_1037,VPWR,li1,480.4700,223.0400,1.799996
FILLER_80_1027,VPWR,li1,475.4100,223.0400,1.799995
FILLER_80_1015,VPWR,li1,470.3500,223.0400,1.799994
FILLER_80_1006,VPWR,li1,465.9800,223.0400,1.799994
FILLER_80_977,VPWR,li1,452.8700,223.0400,1.799995
FILLER_80_925,VPWR,li1,428.9500,223.0400,1.799993
FILLER_80_914,VPWR,li1,423.6600,223.0400,1.799993
FILLER_80_911,VPWR,li1,422.5100,223.0400,1.799993
FILLER_80_908,VPWR,li1,421.1300,223.0400,1.799993
FILLER_80_905,VPWR,li1,419.7500,223.0400,1.799993
FILLER_80_893,VPWR,li1,414.2300,223.0400,1.799994
FILLER_80_880,VPWR,li1,408.0200,223.0400,1.799995
FILLER_80_877,VPWR,li1,406.8700,223.0400,1.799995
FILLER_80_847,VPWR,li1,392.8400,223.0400,1.799995
FILLER_80_844,VPWR,li1,391.6900,223.0400,1.799995
FILLER_80_841,VPWR,li1,390.3100,223.0400,1.799995
FILLER_80_838,VPWR,li1,388.7000,223.0400,1.799995
FILLER_80_835,VPWR,li1,387.5500,223.0400,1.799995
FILLER_80_811,VPWR,li1,376.0500,223.0400,1.799997
FILLER_80_785,VPWR,li1,364.0900,223.0400,1.799998
FILLER_80_781,VPWR,li1,362.7100,223.0400,1.799998
FILLER_80_778,VPWR,li1,361.3300,223.0400,1.799998
FILLER_80_775,VPWR,li1,359.9500,223.0400,1.799998
FILLER_80_772,VPWR,li1,358.5700,223.0400,1.799998
FILLER_80_769,VPWR,li1,357.1900,223.0400,1.799998
FILLER_80_766,VPWR,li1,355.8100,223.0400,1.799998
FILLER_80_763,VPWR,li1,354.4300,223.0400,1.799998
FILLER_80_760,VPWR,li1,353.0500,223.0400,1.799998
FILLER_80_757,VPWR,li1,351.6700,223.0400,1.799998
FILLER_80_753,VPWR,li1,349.8300,223.0400,1.799998
FILLER_80_750,VPWR,li1,348.4500,223.0400,1.799998
FILLER_80_747,VPWR,li1,347.0700,223.0400,1.799998
FILLER_80_744,VPWR,li1,345.6900,223.0400,1.799998
FILLER_80_741,VPWR,li1,344.3100,223.0400,1.799998
FILLER_80_738,VPWR,li1,342.9300,223.0400,1.799998
FILLER_80_735,VPWR,li1,341.5500,223.0400,1.799998
FILLER_80_732,VPWR,li1,340.1700,223.0400,1.799998
FILLER_80_729,VPWR,li1,338.7900,223.0400,1.799998
FILLER_80_725,VPWR,li1,336.9500,223.0400,1.799998
FILLER_80_722,VPWR,li1,335.5700,223.0400,1.799998
FILLER_80_719,VPWR,li1,334.1900,223.0400,1.799998
FILLER_80_716,VPWR,li1,332.8100,223.0400,1.799998
FILLER_80_713,VPWR,li1,331.4300,223.0400,1.799998
FILLER_80_710,VPWR,li1,330.0500,223.0400,1.799998
FILLER_80_707,VPWR,li1,328.6700,223.0400,1.799998
FILLER_80_704,VPWR,li1,327.2900,223.0400,1.799998
FILLER_80_701,VPWR,li1,325.9100,223.0400,1.799998
FILLER_80_697,VPWR,li1,324.0700,223.0400,1.799998
FILLER_80_694,VPWR,li1,322.6900,223.0400,1.799997
FILLER_80_645,VPWR,li1,300.1500,223.0400,1.799997
FILLER_80_635,VPWR,li1,295.0900,223.0400,1.799998
FILLER_80_632,VPWR,li1,294.1700,223.0400,1.799998
FILLER_80_629,VPWR,li1,292.7900,223.0400,1.799998
FILLER_80_626,VPWR,li1,291.4100,223.0400,1.799998
