net,length_um
net392,193.605µm
net491,193.42µm
net54,193.25µm
net534,192.82µm
net601,192µm
net130,191.66µm
_3025_,191.32µm
net388,191.16µm
net133,190.37µm
net391,189.31µm
clknet_4_4__leaf_clk,189.05µm
net157,188.92µm
net605,188.7µm
net138,188.68µm
u_aes128_optimized.u_aes_core.state\[9\],188.31µm
net548,188.29µm
_1741_,188.08µm
net394,187.73µm
net223,187.35µm
clknet_4_6__leaf_clk,187.14µm
net79,187.11µm
net586,187.11µm
net698,186.79µm
net508,185.95µm
net510,185.47µm
net400,185.46µm
_1748_,185.455µm
u_aes128_optimized.u_aes_core.shift_rows_out\[122\],185.24µm
net789,185.16µm
net267,185.11µm
net344,184.12µm
clknet_4_9__leaf_clk,183.68µm
net454,183.595µm
_3002_,183.52µm
u_aes128_optimized.u_aes_core.rcon_reg\[5\],183.42µm
net442,182.88µm
net4,182.56µm
net253,181.94µm
net287,181.745µm
net166,181.235µm
net471,180.8µm
net60,180.72µm
net41,180.695µm
net288,180.43µm
net285,180.14µm
_2930_,179.95µm
net109,178.34µm
net516,178.255µm
net33,178.09µm
net572,178.04µm
net177,177.56µm
net617,177.115µm
net221,176.7µm
net301,176.43µm
net598,176.09µm
net39,176.06µm
net245,175.84µm
net237,175.28µm
net620,175.2µm
net119,175.14µm
net497,174.93µm
u_aes128_optimized.u_aes_core.shift_rows_out\[56\],174.7µm
u_aes128_optimized.u_aes_core.shift_rows_out\[121\],174.635µm
net445,173.88µm
_1043_,173.6µm
net433,172.76µm
net281,172.55µm
u_aes128_optimized.u_aes_core.rcon_reg\[2\],172.46µm
_1899_,172.38µm
clknet_4_10__leaf_clk,172.2µm
net538,172.15µm
_1054_,171.84µm
net61,171.1µm
net247,171.04µm
_2962_,171.02µm
net49,170.92µm
net139,170.75µm
_1608_,170.38µm
_1047_,169.93µm
_1531_,169.86µm
net308,169.68µm
net430,169.37µm
clknet_4_1__leaf_clk,169.2µm
net633,168.94µm
net125,168.75µm
u_aes128_optimized.u_aes_core.shift_rows_out\[43\],167.825µm
net622,167.46µm
net193,167.38µm
_1046_,167.155µm
net412,166.79µm
clknet_4_0__leaf_clk,166.76µm
net427,166.23µm
net416,166.115µm
net803,166.1µm
u_aes128_optimized.u_aes_core.shift_rows_out\[24\],165.655µm
net250,165.61µm
_1145_,165.54µm
net102,165.335µm
uo_out[4],165.33µm
net212,165.16µm
net339,165.15µm
u_aes128_optimized.u_aes_core.round_key_reg\[37\],164.7µm
net408,164.38µm
net447,164.31µm
plaintext_reg\[10\],164.24µm
net417,164.105µm
net554,164.08µm
net239,163.92µm
net630,163.75µm
net429,163.235µm
u_aes128_optimized.u_aes_core.byte_count\[0\],163.12µm
net438,162.26µm
net531,162.1µm
net463,161.615µm
net241,160.67µm
net480,160.455µm
net300,160.35µm
_1660_,160.16µm
plaintext_reg\[74\],160.03µm
net354,159.62µm
net66,159.46µm
clknet_4_11__leaf_clk,158.9µm
net425,158.8µm
net592,158.77µm
_1008_,158.42µm
u_aes128_optimized.u_aes_core.shift_rows_out\[59\],158.3µm
net322,158.115µm
net415,158.095µm
net615,157.97µm
clknet_leaf_36_clk,157.86µm
net342,157.3µm
_2589_,157.21µm
net251,156.49µm
net561,156.41µm
