net,length_um
net684,81.9µm
_2063_,81.79µm
u_aes128_optimized.u_aes_core.shift_rows_out\[64\],81.765µm
_1712_,81.76µm
net466,81.56µm
net715,81.54µm
net687,81.53µm
_1903_,81.5µm
u_aes128_optimized.u_aes_core.shift_rows_out\[31\],81.46µm
u_aes128_optimized.u_aes_core.shift_rows_out\[97\],81.38µm
net786,81.37µm
_2100_,81.22µm
clknet_leaf_52_clk,81.22µm
_1976_,81.08µm
_2555_,81.07µm
u_aes128_optimized.u_aes_core.round_key_reg\[30\],80.87µm
net351,80.76µm
_2621_,80.7µm
net639,80.69µm
net45,80.68µm
net542,80.42µm
u_aes128_optimized.u_aes_core.round_key_reg\[19\],80.41µm
_1951_,80.24µm
net641,80.22µm
u_aes128_optimized.u_aes_core.shift_rows_out\[9\],80.2µm
u_aes128_optimized.u_aes_core.g_word\[8\],80.05µm
_2459_,80.03µm
net700,80.03µm
u_aes128_optimized.u_aes_core.shift_rows_out\[13\],79.92µm
net771,79.47µm
net246,79.46µm
net730,79.28µm
net535,78.98µm
net758,78.98µm
net652,78.78µm
net769,78.66µm
clknet_leaf_20_clk,78.58µm
net190,78.42µm
net748,78.42µm
net180,78.38µm
clknet_3_6_0_clk,78.32µm
net681,78.18µm
_2549_,78.02µm
net50,78.02µm
net697,77.935µm
u_aes128_optimized.u_aes_core.rot_word_reg\[1\],77.88µm
_1338_,77.7µm
net280,77.7µm
u_aes128_optimized.u_aes_core.shift_rows_out\[50\],77.625µm
_2506_,77.2µm
_1782_,77.08µm
_1101_,77.055µm
net484,76.995µm
aes_ciphertext\[87\],76.84µm
net13,76.71µm
_1908_,76.68µm
_1787_,76.64µm
_1171_,76.5µm
_1777_,76.3µm
net195,76.3µm
u_aes128_optimized.u_aes_core.round_key_reg\[8\],76.295µm
net776,76.29µm
u_aes128_optimized.u_aes_core.shift_rows_out\[68\],76.26µm
net822,76.21µm
u_aes128_optimized.u_aes_core.shift_rows_out\[23\],76.2µm
u_aes128_optimized.u_aes_core.rcon_reg\[4\],76.14µm
net569,75.8µm
_2472_,75.7µm
_1715_,75.62µm
u_aes128_optimized.u_aes_core.g_word\[6\],75.47µm
net764,75.47µm
net674,75.32µm
net757,75.28µm
net231,75.26µm
net672,75.23µm
net428,74.91µm
net122,74.9µm
net765,74.86µm
net27,74.62µm
net607,74.5µm
u_aes128_optimized.u_aes_core.shift_rows_out\[81\],74.42µm
_1081_,74.38µm
net760,74.34µm
_1191_,74.26µm
u_aes128_optimized.u_aes_core.shift_rows_out\[25\],74.2µm
u_aes128_optimized.u_aes_core.round_key_reg\[77\],74.09µm
net669,73.97µm
net716,73.89µm
_1567_,73.8µm
u_aes128_optimized.u_aes_core.shift_rows_out\[36\],73.74µm
net827,73.62µm
net335,73.4µm
net710,73.37µm
_2050_,73.34µm
net688,73.18µm
u_aes128_optimized.u_aes_core.shift_rows_out\[29\],72.995µm
_1462_,72.94µm
net656,72.91µm
net744,72.91µm
net226,72.68µm
u_aes128_optimized.u_aes_core.state\[3\],72.67µm
_2082_,72.6µm
net660,72.54µm
net134,72.51µm
_1970_,72.2µm
net202,72.2µm
_2986_,72.14µm
net802,71.885µm
net834,71.83µm
u_aes128_optimized.u_aes_core.round_key_reg\[13\],71.81µm
u_aes128_optimized.u_aes_core.rot_word_reg\[6\],71.77µm
u_aes128_optimized.u_aes_core.shift_rows_out\[5\],71.635µm
net389,71.54µm
u_aes128_optimized.u_aes_core.round_key_reg\[76\],71.5µm
u_aes128_optimized.u_aes_core.rot_word_reg\[31\],71.46µm
u_aes128_optimized.u_aes_core.shift_rows_out\[51\],71.365µm
net567,71.22µm
u_aes128_optimized.u_aes_core.round_key_reg\[14\],71.18µm
net705,71.14µm
_1999_,71.12µm
_1246_,71.04µm
net796,71.02µm
net197,70.94µm
_1422_,70.92µm
_1625_,70.76µm
_1733_,70.76µm
net831,70.58µm
_1503_,70.34µm
net749,70.33µm
net754,70.3µm
net643,70.21µm
_2061_,69.9µm
_1466_,69.88µm
_1740_,69.72µm
net808,69.72µm
_1934_,69.62µm
u_aes128_optimized.u_aes_core.shift_rows_out\[75\],69.505µm
_2097_,69.5µm
_2341_,69.5µm
_1007_,69.46µm
_1918_,69.34µm
_1404_,69.25µm
net597,69.1µm
net167,68.9µm
_1501_,68.68µm
clknet_3_4_0_clk,68.68µm
_2590_,68.46µm
net26,68.4µm
u_aes128_optimized.u_aes_core.rcon_reg\[7\],68.14µm
_2750_,68.12µm
_1198_,68.02µm
u_aes128_optimized.u_aes_core.g_word\[10\],67.9µm
_1095_,67.865µm
_1892_,67.84µm
u_aes128_optimized.u_aes_core.shift_rows_out\[39\],67.77µm
net671,67.71µm
u_aes128_optimized.u_aes_core.shift_rows_out\[83\],67.7µm
net12,67.68µm
clknet_3_0_0_clk,67.54µm
clknet_3_5_0_clk,67.48µm
net407,67.4µm
u_aes128_optimized.u_aes_core.shift_rows_out\[112\],67.3µm
net841,67.23µm
net348,67.22µm
net806,67.16µm
_1772_,67.06µm
net209,67.035µm
_1557_,67.02µm
u_aes128_optimized.u_aes_core.shift_rows_out\[103\],66.855µm
clknet_3_3_0_clk,66.83µm
net591,66.7µm
_1207_,66.58µm
_1353_,66.46µm
_1519_,66.44µm
_1131_,66.12µm
u_aes128_optimized.u_aes_core.round_key_reg\[52\],66.09µm
net708,66µm
_1869_,65.92µm
u_aes128_optimized.u_aes_core.shift_rows_out\[32\],65.685µm
net797,65.49µm
_1495_,65.4µm
_1245_,65.37µm
u_aes128_optimized.u_aes_core.g_word\[3\],65.31µm
_1467_,65.19µm
net55,65.09µm
u_aes128_optimized.u_aes_core.round_key_reg\[73\],64.95µm
_1477_,64.88µm
net390,64.82µm
_2249_,64.68µm
net482,64.48µm
net726,64.34µm
_1306_,64.24µm
net736,64.24µm
_1568_,64.22µm
u_aes128_optimized.u_aes_core.shift_rows_out\[70\],64.1µm
clknet_3_1_0_clk,64.08µm
net655,64.06µm
_2919_,64.025µm
net222,63.92µm
u_aes128_optimized.u_aes_core.round_key_reg\[16\],63.91µm
u_aes128_optimized.u_aes_core.round_key_reg\[75\],63.61µm
net509,63.565µm
net262,63.415µm
u_aes128_optimized.u_aes_core.round_key_reg\[6\],63.39µm
net279,63.16µm
net107,63.14µm
_1231_,62.92µm
u_aes128_optimized.u_aes_core.shift_rows_out\[72\],62.805µm
net801,62.61µm
net59,62.56µm
u_aes128_optimized.u_aes_core.shift_rows_out\[4\],62.23µm
net594,62.1µm
_2994_,62.08µm
u_aes128_optimized.u_aes_core.rot_word_reg\[7\],62.06µm
net500,62.045µm
_1158_,62µm
net650,61.81µm
net204,61.8µm
net750,61.8µm
net477,61.76µm
_2040_,61.68µm
_1709_,61.58µm
net843,61.57µm
_1425_,61.48µm
net645,61.09µm
u_aes128_optimized.u_aes_core.rot_word_reg\[14\],60.66µm
_1011_,60.64µm
_1485_,60.58µm
_1252_,60.52µm
_3020_,60.44µm
net680,60.39µm
_1261_,60.26µm
net664,60.26µm
_1591_,60.18µm
net435,59.8µm
_1665_,59.78µm
_1458_,59.74µm
net677,59.43µm
_1395_,59.32µm
_1972_,59.28µm
net658,59.03µm
_2615_,58.94µm
u_aes128_optimized.u_aes_core.shift_rows_out\[111\],58.92µm
u_aes128_optimized.u_aes_core.shift_rows_out\[76\],58.77µm
u_aes128_optimized.u_aes_core.shift_rows_out\[7\],58.72µm
net229,58.6µm
u_aes128_optimized.u_aes_core.round_key_reg\[78\],58.57µm
net40,58.55µm
net775,58.53µm
_1797_,58.4µm
_2743_,58.4µm
net746,58.37µm
_2071_,58.16µm
_1063_,58.14µm
_1181_,57.88µm
_1979_,57.82µm
_2991_,57.48µm
net820,57.45µm
u_aes128_optimized.u_aes_core.shift_rows_out\[71\],57.36µm
_1465_,57.2µm
u_aes128_optimized.u_aes_core.shift_rows_out\[79\],57.18µm
u_aes128_optimized.u_aes_core.shift_rows_out\[69\],57.16µm
u_aes128_optimized.u_aes_core.round_key_reg\[31\],57.07µm
net481,56.92µm
_1942_,56.9µm
_1961_,56.84µm
net502,56.84µm
net690,56.81µm
_1210_,56.56µm
u_aes128_optimized.u_aes_core.shift_rows_out\[98\],56.5µm
_1464_,56.46µm
_2777_,56.36µm
net476,56.35µm
clknet_3_7_0_clk,56.34µm
_1135_,56.185µm
u_aes128_optimized.u_aes_core.shift_rows_out\[37\],56.04µm
u_aes128_optimized.u_aes_core.g_word\[9\],55.9µm
_1457_,55.89µm
net104,55.89µm
_1915_,55.86µm
net266,55.76µm
u_aes128_optimized.u_aes_core.state\[5\],55.62µm
clknet_leaf_81_clk,55.52µm
_2328_,55.2µm
_1197_,55.04µm
_1559_,54.9µm
_3033_,54.76µm
_1989_,54.74µm
u_aes128_optimized.u_aes_core.shift_rows_out\[48\],54.69µm
_1819_,54.64µm
u_aes128_optimized.u_aes_core.g_word\[11\],54.27µm
net479,54.24µm
_1493_,54.215µm
net794,54.1µm
key_index\[0\],53.95µm
_2217_,53.81µm
_2597_,53.7µm
_1041_,53.66µm
net729,53.58µm
u_aes128_optimized.u_aes_core.round_key_reg\[125\],53.43µm
net136,53.11µm
net362,53.11µm
u_aes128_optimized.u_aes_core.shift_rows_out\[73\],53.06µm
_1484_,53.04µm
net829,52.72µm
net10,52.26µm
net659,52.25µm
u_aes128_optimized.u_aes_core.rot_word_reg\[19\],52.08µm
net732,52.04µm
_1292_,51.94µm
u_aes128_optimized.u_aes_core.round_key_reg\[47\],51.86µm
_1560_,51.82µm
_2113_,51.82µm
net565,51.82µm
u_aes128_optimized.u_aes_core.round_key_reg\[41\],51.7µm
net374,51.7µm
u_aes128_optimized.u_aes_core.shift_rows_out\[49\],51.615µm
net781,51.38µm
net805,51.3µm
net792,51.23µm
u_aes128_optimized.u_aes_core.round_key_reg\[49\],51.22µm
_1085_,51.02µm
u_aes128_optimized.u_aes_core.round_key_reg\[74\],51.01µm
net662,50.96µm
u_aes128_optimized.u_aes_core.shift_rows_out\[38\],50.84µm
_2178_,50.68µm
net810,50.57µm
aes_ciphertext\[23\],50.52µm
_2077_,50.42µm
_1228_,50.34µm
net692,50.28µm
_1253_,50.2µm
_1284_,50.02µm
_1406_,49.88µm
_1814_,49.7µm
u_aes128_optimized.u_aes_core.round_key_reg\[25\],49.59µm
u_aes128_optimized.u_aes_core.round_key_reg\[96\],49.58µm
_1222_,49.32µm
net593,49.28µm
_1262_,49.16µm
u_aes128_optimized.u_aes_core.round_key_reg\[23\],49.11µm
_1106_,49.04µm
net787,49µm
net813,48.93µm
_2982_,48.87µm
net773,48.84µm
net819,48.73µm
_1224_,48.7µm
_1522_,48.68µm
u_aes128_optimized.u_aes_core.shift_rows_out\[15\],48.43µm
_1221_,48.42µm
net132,48.26µm
u_aes128_optimized.u_aes_core.rot_word_reg\[24\],48.04µm
_1270_,48.02µm
_1526_,47.8µm
_2163_,47.76µm
net811,47.29µm
net338,47.24µm
u_aes128_optimized.u_aes_core.round_key_reg\[42\],47.17µm
_3032_,47.12µm
u_aes128_optimized.u_aes_core.rot_word_reg\[28\],47.08µm
_1472_,47.06µm
net11,47.06µm
net468,46.955µm
u_aes128_optimized.u_aes_core.round_key_reg\[104\],46.64µm
net836,46.62µm
_1204_,46.5µm
_1238_,46.47µm
ciphertext_latched\[20\],46.42µm
net346,46.38µm
_1492_,46.335µm
u_aes128_optimized.u_aes_core.shift_rows_out\[101\],46.15µm
key_index\[1\],46.02µm
net298,45.96µm
_2972_,45.945µm
_1722_,45.94µm
_2718_,45.9µm
_1182_,45.84µm
net648,45.83µm
_2951_,45.62µm
_1737_,45.39µm
net182,45.34µm
u_aes128_optimized.u_aes_core.round_key_reg\[33\],45.17µm
ciphertext_latched\[94\],45.07µm
_2035_,44.94µm
net777,44.89µm
_2322_,44.86µm
u_aes128_optimized.u_aes_core.round_key_reg\[34\],44.53µm
net818,44.53µm
_1237_,44.5µm
net213,44.48µm
net685,44.45µm
u_aes128_optimized.u_aes_core.round_key_reg\[93\],44.16µm
u_aes128_optimized.u_aes_core.round_key_reg\[64\],44.15µm
net707,44.06µm
_1070_,44.04µm
u_aes128_optimized.u_aes_core.shift_rows_out\[74\],43.975µm
_1897_,43.75µm
_1355_,43.74µm
_1126_,43.64µm
_1681_,43.62µm
_1045_,43.525µm
_2066_,43.3µm
u_aes128_optimized.u_aes_core.round_key_reg\[84\],43.07µm
net751,43.06µm
_1448_,43µm
u_aes128_optimized.u_aes_core.rot_word_reg\[9\],42.96µm
_1039_,42.88µm
net839,42.75µm
net467,42.675µm
_2434_,42.64µm
net840,42.58µm
_1657_,42.52µm
ciphertext_latched\[123\],42.48µm
_1247_,42.36µm
_1285_,42.32µm
u_aes128_optimized.u_aes_core.round_key_reg\[62\],42.23µm
_1286_,42µm
_1829_,42µm
_2603_,41.98µm
_1705_,41.97µm
_1243_,41.84µm
_1372_,41.74µm
_1230_,41.7µm
_2045_,41.695µm
_1287_,41.66µm
net704,41.64µm
_2524_,41.62µm
_1175_,41.6µm
net826,41.58µm
_1471_,41.56µm
_1220_,41.53µm
u_aes128_optimized.u_aes_core.round_key_reg\[0\],41.2µm
_2211_,40.98µm
_1500_,40.96µm
_2264_,40.85µm
net118,40.835µm
u_aes128_optimized.u_aes_core.round_key_reg\[40\],40.77µm
net835,40.75µm
net248,40.64µm
net646,40.6µm
net174,40.56µm
key_index\[2\],40.54µm
net838,40.37µm
_2965_,40.3µm
_2964_,40.075µm
_1125_,39.96µm
_2094_,39.96µm
_3029_,39.93µm
u_aes128_optimized.u_aes_core.round_key_reg\[65\],39.91µm
_1973_,39.855µm
_1310_,39.84µm
net689,39.83µm
net205,39.73µm
net779,39.72µm
_2737_,39.69µm
net725,39.51µm
aes_ciphertext\[119\],39.44µm
_1530_,39.4µm
_2170_,39.4µm
net761,39.28µm
_3001_,39.2µm
_2245_,39.18µm
_2518_,39.18µm
net76,39.14µm
_1474_,39.02µm
u_aes128_optimized.u_aes_core.round_key_reg\[95\],38.97µm
net793,38.97µm
net782,38.95µm
net861,38.74µm
u_aes128_optimized.u_aes_core.col_count\[0\],38.58µm
u_aes128_optimized.u_aes_core.round_key_reg\[7\],38.465µm
net837,38.37µm
_1516_,38.18µm
_1160_,38.14µm
_2693_,38.12µm
_2681_,38.04µm
net728,38.01µm
_2377_,37.94µm
_1380_,37.66µm
net812,37.56µm
u_aes128_optimized.u_aes_core.round_key_reg\[15\],37.54µm
_1610_,37.44µm
_1473_,37.405µm
_1259_,37.34µm
u_aes128_optimized.u_aes_core.round_key_reg\[58\],37.32µm
ciphertext_latched\[63\],37.28µm
aes_busy,37.2µm
u_aes128_optimized.u_aes_core.round_key_reg\[43\],37.19µm
ciphertext_latched\[58\],37.18µm
net153,37.12µm
_1229_,37.1µm
_1967_,37.06µm
net111,37.02µm
_2151_,36.94µm
_2992_,36.94µm
u_aes128_optimized.u_aes_core.round_key_reg\[106\],36.49µm
net785,36.12µm
u_aes128_optimized.u_aes_core.round_key_reg\[4\],36.07µm
_2591_,36.06µm
net144,36.06µm
net566,36.04µm
_1053_,35.97µm
net549,35.96µm
u_aes128_optimized.u_aes_core.rot_word_reg\[21\],35.625µm
u_aes128_optimized.u_aes_core.rot_word_reg\[22\],35.565µm
_2921_,35.54µm
net693,35.51µm
net804,35.47µm
_1696_,35.34µm
net694,35.34µm
net731,35.34µm
net720,35.33µm
ciphertext_latched\[90\],35.14µm
_1802_,35.12µm
u_aes128_optimized.u_aes_core.round_key_reg\[51\],35.09µm
u_aes128_optimized.u_aes_core.rot_word_reg\[30\],35.02µm
_2724_,34.9µm
net192,34.84µm
net14,34.78µm
_2391_,34.76µm
_1254_,34.74µm
ciphertext_latched\[56\],34.62µm
net706,34.12µm
_2359_,34.1µm
_1195_,34.06µm
u_aes128_optimized.u_aes_core.round_key_reg\[71\],34.06µm
_1369_,34µm
_2144_,33.99µm
_2673_,33.98µm
_1279_,33.82µm
_1079_,33.805µm
ciphertext_latched\[110\],33.7µm
net42,33.68µm
u_aes128_optimized.u_aes_core.round_key_reg\[101\],33.57µm
net663,33.55µm
net717,33.52µm
_2536_,33.48µm
u_aes128_optimized.u_aes_core.round_key_reg\[83\],33.48µm
_1263_,33.4µm
_1127_,33.3µm
_3035_,33.24µm
net774,33.1µm
_1562_,33.01µm
_2275_,32.78µm
net537,32.7µm
_1088_,32.56µm
u_aes128_optimized.u_aes_core.rot_word_reg\[13\],32.54µm
u_aes128_optimized.u_aes_core.round_key_reg\[39\],32.4µm
_1136_,32.38µm
u_aes128_optimized.u_aes_core.round_key_reg\[116\],32.35µm
ciphertext_latched\[78\],32.16µm
_1208_,32.14µm
_1573_,32.1µm
ciphertext_latched\[25\],32.1µm
u_aes128_optimized.u_aes_core.round_key_reg\[105\],32.09µm
_1509_,32.06µm
_3017_,32.04µm
u_aes128_optimized.u_aes_core.rot_word_reg\[5\],32.02µm
u_aes128_optimized.u_aes_core.round_key_reg\[85\],32.02µm
_1257_,31.68µm
_1215_,31.66µm
_1180_,31.62µm
u_aes128_optimized.u_aes_core.round_key_reg\[50\],31.58µm
u_aes128_optimized.u_aes_core.round_key_reg\[81\],31.51µm
net520,31.5µm
_1239_,31.46µm
_1572_,31.44µm
net276,31.42µm
ciphertext_latched\[81\],31.325µm
u_aes128_optimized.u_aes_core.rot_word_reg\[27\],31.26µm
_1216_,31.12µm
_1152_,31.02µm
_2664_,30.96µm
_1981_,30.88µm
_2610_,30.84µm
_1518_,30.78µm
u_aes128_optimized.u_aes_core.round_key_reg\[54\],30.575µm
u_aes128_optimized.u_aes_core.round_key_reg\[72\],30.56µm
_2774_,30.48µm
net147,30.48µm
ciphertext_latched\[126\],30.46µm
u_aes128_optimized.u_aes_core.round_key_reg\[109\],30.35µm
plaintext_index\[3\],30.3µm
_1478_,30.28µm
_1293_,30.26µm
_1226_,30.24µm
_1251_,30.2µm
_1260_,30.18µm
_1609_,30.17µm
_1402_,30.16µm
_2736_,30µm
net733,29.98µm
net759,29.92µm
u_aes128_optimized.u_aes_core.round_key_reg\[59\],29.89µm
_1044_,29.81µm
_2530_,29.66µm
u_aes128_optimized.u_aes_core.round_key_reg\[53\],29.64µm
rst_n,29.59µm
_1361_,29.49µm
_1564_,29.4µm
net719,29.38µm
u_aes128_optimized.u_aes_core.round_key_reg\[61\],29.32µm
net624,29.3µm
u_aes128_optimized.u_aes_core.rot_word_reg\[11\],29.24µm
net340,29.04µm
_1432_,28.92µm
net735,28.91µm
_1392_,28.79µm
_1256_,28.7µm
_2024_,28.62µm
u_aes128_optimized.u_aes_core.round_key_reg\[48\],28.58µm
_1730_,28.53µm
_2371_,28.52µm
_1401_,28.48µm
_1444_,28.46µm
ciphertext_latched\[88\],28.46µm
net783,28.4µm
u_aes128_optimized.u_aes_core.round_key_reg\[90\],28.39µm
ciphertext_latched\[65\],28.36µm
_1514_,28.34µm
_2619_,28.34µm
_1357_,28.12µm
_2008_,27.93µm
_1419_,27.92µm
_1684_,27.9µm
_2422_,27.8µm
_2739_,27.8µm
_1960_,27.76µm
u_aes128_optimized.u_aes_core.round_key_reg\[55\],27.63µm
ready_for_start,27.62µm
u_aes128_optimized.u_aes_core.g_word\[0\],27.61µm
_2670_,27.6µm
_1700_,27.56µm
net661,27.45µm
_1212_,27.42µm
_1280_,27.4µm
_2550_,27.4µm
_1006_,27.36µm
u_aes128_optimized.u_aes_core.round_key_reg\[66\],27.29µm
_2353_,27.28µm
net528,27.16µm
_2931_,27.14µm
net232,27.14µm
net772,27.13µm
ciphertext_latched\[73\],27.04µm
u_aes128_optimized.u_aes_core.round_reg\[0\],27.02µm
u_aes128_optimized.u_aes_core.temp_state_reg\[14\],27.01µm
_1067_,27.005µm
net403,26.98µm
_2764_,26.96µm
net647,26.96µm
_2268_,26.92µm
net670,26.91µm
_1273_,26.9µm
_1188_,26.86µm
_3036_,26.8µm
u_aes128_optimized.u_aes_core.round_key_reg\[92\],26.62µm
net256,26.56µm
net676,26.5µm
_1255_,26.47µm
u_aes128_optimized.u_aes_core.round_key_reg\[60\],26.45µm
net413,26.44µm
_2068_,26.4µm
_2633_,26.38µm
_1301_,26.36µm
u_aes128_optimized.u_aes_core.round_key_reg\[35\],26.27µm
_1294_,26.26µm
_2778_,26.26µm
ciphertext_latched\[82\],26.26µm
_1685_,26.24µm
_1513_,26.22µm
u_aes128_optimized.u_aes_core.round_key_reg\[86\],26.21µm
_1289_,26.2µm
_2922_,26.16µm
u_aes128_optimized.u_aes_core.g_word\[16\],26.07µm
u_aes128_optimized.u_aes_core.round_key_reg\[82\],26.07µm
net32,26.06µm
u_aes128_optimized.u_aes_core.round_key_reg\[79\],26.04µm
plaintext_reg\[11\],26.02µm
u_aes128_optimized.u_aes_core.temp_state_reg\[64\],25.945µm
_1205_,25.8µm
_1578_,25.8µm
_1505_,25.74µm
_1298_,25.68µm
ui_in[6],25.62µm
_1699_,25.58µm
net766,25.58µm
_2744_,25.55µm
_1314_,25.52µm
_1225_,25.48µm
net115,25.425µm
net971,25.42µm
_1389_,25.4µm
_1427_,25.4µm
_1936_,25.38µm
_2150_,25.38µm
_1236_,25.34µm
ciphertext_latched\[89\],25.3µm
u_aes128_optimized.u_aes_core.temp_state_reg\[67\],25.24µm
net324,25.18µm
u_aes128_optimized.u_aes_core.round_key_reg\[88\],25.17µm
_1303_,25.16µm
net198,25.16µm
_1504_,25.12µm
_1650_,25.06µm
u_aes128_optimized.u_aes_core.temp_state_reg\[82\],25.02µm
_1571_,25µm
net1195,24.98µm
_2715_,24.94µm
_1433_,24.9µm
_2932_,24.88µm
u_aes128_optimized.u_aes_core.round_key_reg\[89\],24.84µm
u_aes128_optimized.u_aes_core.round_key_reg\[56\],24.78µm
_1177_,24.76µm
ui_in[7],24.75µm
_1359_,24.725µm
_1456_,24.72µm
plaintext_reg\[72\],24.72µm
_2730_,24.62µm
u_aes128_optimized.u_aes_core.round_key_reg\[46\],24.61µm
_2223_,24.46µm
net830,24.4µm
uio_in[4],24.37µm
net1537,24.36µm
_3010_,24.32µm
_1529_,24.28µm
_1424_,24.195µm
u_aes128_optimized.u_aes_core.rot_word_reg\[3\],24.14µm
key_reg\[94\],24.115µm
ciphertext_latched\[60\],23.94µm
_1601_,23.92µm
_1211_,23.9µm
_1057_,23.88µm
net737,23.88µm
_1102_,23.86µm
u_aes128_optimized.u_aes_core.round_key_reg\[103\],23.84µm
_1328_,23.76µm
_2103_,23.76µm
_2757_,23.74µm
uio_in[0],23.69µm
_1193_,23.64µm
_1587_,23.64µm
key_reg\[88\],23.635µm
_2688_,23.63µm
net770,23.62µm
_1695_,23.61µm
_2950_,23.56µm
_2640_,23.52µm
ciphertext_latched\[62\],23.52µm
net35,23.44µm
_1373_,23.34µm
_1879_,23.32µm
_2935_,23.32µm
_1142_,23.3µm
net218,23.3µm
_1945_,23.24µm
_1012_,23.22µm
net263,23.2µm
net523,23.14µm
net1017,23.14µm
_2201_,23.12µm
_1653_,23.08µm
_1187_,23.06µm
_2628_,23µm
_1798_,22.96µm
_2384_,22.9µm
done_latched,22.9µm
key_reg\[62\],22.9µm
_1884_,22.88µm
_2383_,22.88µm
_2771_,22.88µm
net1112,22.88µm
_2658_,22.86µm
_1219_,22.78µm
ciphertext_latched\[57\],22.77µm
u_aes128_optimized.u_aes_core.g_word\[22\],22.77µm
plaintext_reg\[103\],22.72µm
u_aes128_optimized.u_aes_core.round_reg\[3\],22.72µm
_1249_,22.68µm
_1565_,22.68µm
_2929_,22.68µm
u_aes128_optimized.u_aes_core.round_key_reg\[110\],22.68µm
net1197,22.62µm
u_aes128_optimized.u_aes_core.temp_state_reg\[79\],22.6µm
ciphertext_latched\[109\],22.58µm
u_aes128_optimized.u_aes_core.rot_word_reg\[29\],22.54µm
_2685_,22.5µm
ui_in[0],22.45µm
_1275_,22.43µm
_1408_,22.42µm
u_aes128_optimized.u_aes_core.rcon_reg\[0\],22.42µm
_1037_,22.38µm
_2194_,22.38µm
u_aes128_optimized.u_aes_core.temp_state_reg\[90\],22.3µm
net727,22.3µm
_1272_,22.26µm
ciphertext_latched\[33\],22.26µm
u_aes128_optimized.u_aes_core.temp_state_reg\[66\],22.24µm
_1507_,22.22µm
net791,22.21µm
_2601_,22.18µm
_2604_,22.18µm
_2609_,22.18µm
net686,22.07µm
net1024,22.07µm
_1166_,22.04µm
_2119_,22.04µm
output_index\[3\],22.04µm
net930,21.95µm
u_aes128_optimized.u_aes_core.temp_state_reg\[92\],21.89µm
_1103_,21.88µm
_2479_,21.86µm
_1297_,21.84µm
u_aes128_optimized.u_aes_core.round_key_reg\[45\],21.81µm
uio_in[2],21.78µm
_1288_,21.76µm
u_aes128_optimized.u_aes_core.temp_state_reg\[68\],21.74µm
ciphertext_latched\[92\],21.725µm
_1626_,21.72µm
_2607_,21.7µm
u_aes128_optimized.u_aes_core.round_key_reg\[117\],21.69µm
net101,21.62µm
u_aes128_optimized.u_aes_core.round_key_reg\[114\],21.55µm
_1803_,21.54µm
net657,21.54µm
_1635_,21.52µm
_1724_,21.48µm
u_aes128_optimized.u_aes_core.rot_word_reg\[25\],21.46µm
_2995_,21.435µm
_2013_,21.4µm
_2974_,21.37µm
u_aes128_optimized.u_aes_core.temp_state_reg\[117\],21.37µm
u_aes128_optimized.u_aes_core.round_key_reg\[63\],21.35µm
u_aes128_optimized.u_aes_core.sub_word_reg\[26\],21.28µm
u_aes128_optimized.u_aes_core.temp_state_reg\[74\],21.28µm
_2088_,21.225µm
_1528_,21.12µm
net1202,21.12µm
_2712_,21.09µm
u_aes128_optimized.u_aes_core.round_key_reg\[126\],21.09µm
_1269_,21.08µm
_2229_,21.06µm
_1850_,21.04µm
clear_d,21.04µm
_1963_,21.005µm
_2017_,21µm
ciphertext_latched\[59\],20.985µm
plaintext_reg\[14\],20.965µm
net544,20.96µm
u_aes128_optimized.u_aes_core.temp_state_reg\[127\],20.94µm
u_aes128_optimized.u_aes_core.temp_state_reg\[37\],20.92µm
net1206,20.92µm
net1065,20.88µm
net683,20.87µm
_1117_,20.86µm
aes_ciphertext\[117\],20.84µm
ciphertext_latched\[113\],20.82µm
_2592_,20.8µm
net828,20.8µm
ciphertext_latched\[91\],20.78µm
u_aes128_optimized.u_aes_core.g_word\[23\],20.78µm
u_aes128_optimized.u_aes_core.round_key_reg\[115\],20.76µm
_1959_,20.75µm
_1309_,20.72µm
_1258_,20.69µm
plaintext_reg\[66\],20.68µm
_2967_,20.66µm
net1176,20.64µm
plaintext_reg\[99\],20.63µm
_2261_,20.6µm
_1299_,20.58µm
_2616_,20.58µm
u_aes128_optimized.u_aes_core.temp_state_reg\[114\],20.52µm
u_aes128_optimized.u_aes_core.round_key_reg\[36\],20.5µm
_1296_,20.48µm
u_aes128_optimized.u_aes_core.round_key_reg\[100\],20.47µm
u_aes128_optimized.u_aes_core.temp_state_reg\[45\],20.46µm
_1746_,20.44µm
_2281_,20.36µm
_2447_,20.36µm
u_aes128_optimized.u_aes_core.temp_state_reg\[75\],20.36µm
_2149_,20.34µm
_1423_,20.32µm
_1566_,20.32µm
u_aes128_optimized.u_aes_core.rot_word_reg\[10\],20.32µm
u_aes128_optimized.u_aes_core.temp_state_reg\[54\],20.32µm
_2056_,20.295µm
_1438_,20.24µm
ciphertext_latched\[102\],20.24µm
ciphertext_latched\[61\],20.24µm
u_aes128_optimized.u_aes_core.temp_state_reg\[102\],20.22µm
net62,20.22µm
_2706_,20.18µm
net150,20.05µm
_2365_,20.02µm
_2787_,20.02µm
_1490_,19.96µm
net1476,19.9µm
_2631_,19.88µm
u_aes128_optimized.u_aes_core.temp_state_reg\[122\],19.86µm
u_aes128_optimized.u_aes_core.round_key_reg\[122\],19.79µm
_0029_,19.765µm
net1028,19.74µm
u_aes128_optimized.u_aes_core.round_key_reg\[121\],19.71µm
