Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_80_2689,VPWR,li1,1240.3900,223.0400,1.800000
FILLER_80_2685,VPWR,li1,1238.5500,223.0400,1.800000
FILLER_80_2682,VPWR,li1,1237.1700,223.0400,1.800000
FILLER_80_2679,VPWR,li1,1235.7900,223.0400,1.800000
FILLER_80_2676,VPWR,li1,1234.4100,223.0400,1.800000
FILLER_80_2673,VPWR,li1,1233.0300,223.0400,1.800000
FILLER_80_2670,VPWR,li1,1231.6500,223.0400,1.800000
FILLER_80_2667,VPWR,li1,1230.2700,223.0400,1.800000
FILLER_80_2664,VPWR,li1,1228.8900,223.0400,1.800000
FILLER_80_2661,VPWR,li1,1227.5100,223.0400,1.800000
FILLER_80_2657,VPWR,li1,1225.6700,223.0400,1.800000
FILLER_80_2654,VPWR,li1,1224.2900,223.0400,1.800000
FILLER_80_2651,VPWR,li1,1222.9100,223.0400,1.800000
FILLER_80_2648,VPWR,li1,1221.5300,223.0400,1.800000
FILLER_80_2645,VPWR,li1,1220.1500,223.0400,1.800000
FILLER_80_2642,VPWR,li1,1218.7700,223.0400,1.800000
FILLER_80_2639,VPWR,li1,1217.3900,223.0400,1.800000
FILLER_80_2636,VPWR,li1,1216.0100,223.0400,1.800000
FILLER_80_2633,VPWR,li1,1214.6300,223.0400,1.800000
FILLER_80_2629,VPWR,li1,1212.7900,223.0400,1.800000
FILLER_80_2626,VPWR,li1,1211.4100,223.0400,1.800000
FILLER_80_2623,VPWR,li1,1210.0300,223.0400,1.800000
FILLER_80_2620,VPWR,li1,1208.6500,223.0400,1.800000
FILLER_80_2617,VPWR,li1,1207.2700,223.0400,1.800000
FILLER_80_2614,VPWR,li1,1205.8900,223.0400,1.800000
FILLER_80_2611,VPWR,li1,1204.5100,223.0400,1.800000
FILLER_80_2608,VPWR,li1,1203.1300,223.0400,1.800000
FILLER_80_2605,VPWR,li1,1201.7500,223.0400,1.800000
FILLER_80_2601,VPWR,li1,1199.9100,223.0400,1.800000
FILLER_80_2598,VPWR,li1,1198.5300,223.0400,1.800000
FILLER_80_2595,VPWR,li1,1197.1500,223.0400,1.800000
FILLER_80_2592,VPWR,li1,1195.7700,223.0400,1.800000
FILLER_80_2589,VPWR,li1,1194.3900,223.0400,1.800000
FILLER_80_2586,VPWR,li1,1193.0100,223.0400,1.800000
FILLER_80_2583,VPWR,li1,1191.6300,223.0400,1.800000
FILLER_80_2580,VPWR,li1,1190.2500,223.0400,1.800000
FILLER_80_2577,VPWR,li1,1188.8700,223.0400,1.800000
FILLER_80_2573,VPWR,li1,1187.0300,223.0400,1.800000
FILLER_80_2570,VPWR,li1,1185.6500,223.0400,1.800000
FILLER_80_2567,VPWR,li1,1184.2700,223.0400,1.800000
FILLER_80_2564,VPWR,li1,1182.8900,223.0400,1.800000
FILLER_80_2561,VPWR,li1,1181.5100,223.0400,1.800000
FILLER_80_2558,VPWR,li1,1180.1300,223.0400,1.800000
FILLER_80_2555,VPWR,li1,1178.7500,223.0400,1.800000
