Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_80_1158,VGND,li1,536.1300,220.3200,0.000000
FILLER_80_1155,VGND,li1,534.7500,220.3200,0.000000
FILLER_80_1152,VGND,li1,533.3700,220.3200,0.000000
FILLER_80_1149,VGND,li1,531.9900,220.3200,0.000000
FILLER_80_1145,VGND,li1,530.1500,220.3200,0.000000
FILLER_80_1142,VGND,li1,528.7700,220.3200,0.000000
FILLER_80_1139,VGND,li1,527.3900,220.3200,0.000000
FILLER_80_1136,VGND,li1,526.0100,220.3200,0.000000
FILLER_80_1133,VGND,li1,524.6300,220.3200,0.000000
FILLER_80_1130,VGND,li1,523.2500,220.3200,0.000000
FILLER_80_1127,VGND,li1,521.8700,220.3200,0.000000
FILLER_80_1124,VGND,li1,520.4900,220.3200,0.000000
FILLER_80_1121,VGND,li1,519.1100,220.3200,0.000000
FILLER_80_1117,VGND,li1,517.2700,220.3200,0.000000
FILLER_80_1114,VGND,li1,515.8900,220.3200,0.000000
FILLER_80_1111,VGND,li1,514.5100,220.3200,0.000000
FILLER_80_1108,VGND,li1,513.1300,220.3200,0.000001
FILLER_80_1105,VGND,li1,511.7500,220.3200,0.000001
FILLER_80_1102,VGND,li1,510.3700,220.3200,0.000001
FILLER_80_1099,VGND,li1,508.9900,220.3200,0.000001
FILLER_80_1096,VGND,li1,507.6100,220.3200,0.000001
FILLER_80_1093,VGND,li1,506.2300,220.3200,0.000001
FILLER_80_1089,VGND,li1,504.3900,220.3200,0.000001
FILLER_80_1086,VGND,li1,503.0100,220.3200,0.000001
FILLER_80_1083,VGND,li1,501.6300,220.3200,0.000001
FILLER_80_1080,VGND,li1,500.2500,220.3200,0.000001
FILLER_80_1077,VGND,li1,498.8700,220.3200,0.000001
FILLER_80_1074,VGND,li1,497.4900,220.3200,0.000001
FILLER_80_1071,VGND,li1,496.1100,220.3200,0.000001
FILLER_80_1068,VGND,li1,494.7300,220.3200,0.000001
FILLER_80_1065,VGND,li1,493.3500,220.3200,0.000001
FILLER_80_1061,VGND,li1,491.5100,220.3200,0.000001
FILLER_80_1058,VGND,li1,490.1300,220.3200,0.000001
FILLER_80_1055,VGND,li1,488.7500,220.3200,0.000001
FILLER_80_1052,VGND,li1,487.3700,220.3200,0.000001
FILLER_80_1049,VGND,li1,485.9900,220.3200,0.000001
FILLER_80_1046,VGND,li1,484.6100,220.3200,0.000002
FILLER_80_1043,VGND,li1,483.2300,220.3200,0.000002
FILLER_80_1040,VGND,li1,481.8500,220.3200,0.000002
