net,length_um
net775,320.5µm
net860,320.45µm
_03455_,319.06µm
_03600_,317.32µm
net2078,316.93µm
_01863_,316.72µm
_09282_,316.22µm
clknet_3_0_0_clk,314.9µm
_01384_,314.16µm
net89,312.98µm
net220,311.605µm
_01050_,311.31µm
clknet_3_1_0_clk,310.8µm
_04422_,310.64µm
_05469_,310.55µm
_05805_,307.93µm
_09186_,307.32µm
_07481_,306.14µm
_04962_,305.2µm
_07324_,304.89µm
key_reg\[24\],303.4µm
_09298_,302.84µm
_09210_,302.08µm
_09300_,302.035µm
net302,301.48µm
u_aes128_baseline.u_aes_core.state_reg\[45\],301.39µm
net497,300.73µm
_05837_,299.84µm
_01376_,299.815µm
net1990,297.77µm
_00866_,296.3µm
net854,295.75µm
net254,295.145µm
_05498_,295.14µm
_03902_,294.895µm
net107,294.28µm
_09314_,291.78µm
u_aes128_baseline.u_aes_core.state_reg\[27\],291.72µm
net520,291.715µm
net478,291.66µm
net992,291.26µm
_08513_,290.405µm
_00861_,290.12µm
_09346_,290µm
net1398,289.18µm
u_aes128_baseline.u_aes_core.round_key_reg\[10\],288.97µm
net1975,288.84µm
net1353,288.25µm
net8,288.22µm
_05336_,287.48µm
net278,287.145µm
u_aes128_baseline.u_aes_core.state_reg\[99\],287.01µm
net1204,286.66µm
net907,285.58µm
key_reg\[101\],285.48µm
u_aes128_baseline.u_aes_core.state_reg\[89\],284.92µm
ready_wire,284.62µm
_01612_,284.44µm
net137,284.14µm
_09274_,284.12µm
_03464_,283.58µm
net395,282.72µm
net619,282.54µm
_03608_,282.49µm
net276,282.4µm
_09250_,281.34µm
net493,281.11µm
_00803_,280.54µm
_07290_,279.39µm
_01812_,278.71µm
net601,278.02µm
_00868_,277.48µm
u_aes128_baseline.u_aes_core.round_key_reg\[6\],277.45µm
_07521_,276.88µm
net908,276.66µm
net1900,276.635µm
_07500_,275.84µm
_05653_,275.5µm
net243,275.21µm
_07730_,274.98µm
net774,274.15µm
net366,273.96µm
_00834_,273.7µm
net863,273.14µm
net876,272.68µm
_09246_,271.48µm
plaintext_reg\[102\],271.17µm
net1160,270.42µm
_00895_,269.62µm
ciphertext_reg\[119\],269.56µm
net785,269.48µm
net1033,269.475µm
net381,268.92µm
_09194_,267.98µm
_05924_,267.9µm
ciphertext_reg\[108\],267.68µm
_01379_,267.3µm
net598,266.98µm
_04082_,266.62µm
_07098_,265.95µm
_07863_,265.475µm
u_aes128_baseline.u_aes_core.state_reg\[29\],265.43µm
ciphertext_reg\[4\],265.28µm
_04306_,265.16µm
_09316_,265.01µm
u_aes128_baseline.u_aes_core.round_key_reg\[23\],264.95µm
key_reg\[102\],264.26µm
plaintext_reg\[24\],263.76µm
u_aes128_baseline.u_aes_core.round_key_reg\[18\],263.61µm
net252,263.07µm
clknet_leaf_1_clk,263.04µm
_02683_,262.92µm
net784,262.82µm
net538,262.67µm
_03053_,262.6µm
ciphertext_reg\[113\],262.6µm
_02023_,262.51µm
net385,262.45µm
_08737_,262µm
net555,261.94µm
net208,261.92µm
u_aes128_baseline.u_aes_core.state_reg\[78\],261.44µm
net397,261.12µm
net142,260.88µm
ciphertext_reg\[60\],260.05µm
net328,259.785µm
_03747_,259.57µm
net4,259.48µm
_01302_,259.38µm
_09192_,259.26µm
_03671_,258.915µm
clknet_leaf_37_clk,258.9µm
net546,258.54µm
net656,258.35µm
_01211_,258.16µm
net419,258.04µm
clknet_3_3_0_clk,257.865µm
u_aes128_baseline.u_aes_core.round_key_reg\[2\],257.44µm
_09319_,257.41µm
_04654_,257.355µm
net776,257.34µm
_06415_,257.15µm
_02014_,256.68µm
net1443,256.16µm
_00816_,255.62µm
_02743_,254.53µm
net186,253.91µm
_08479_,253.78µm
_01283_,253.73µm
net444,253.44µm
_05911_,252.93µm
_06556_,252.87µm
net326,252.8µm
net1777,252.73µm
_09183_,252.62µm
net265,252.49µm
_01233_,252.23µm
net696,252.15µm
_04099_,251.91µm
net100,251.78µm
u_aes128_baseline.u_aes_core.state_reg\[91\],251.52µm
net45,251.28µm
net452,251.02µm
_06402_,250.43µm
net632,250.06µm
net1093,249.7µm
_09266_,249.44µm
_03569_,249.3µm
net508,248.81µm
net94,248.75µm
u_aes128_baseline.u_aes_core.state_reg\[7\],248.72µm
_09242_,248.68µm
_05098_,247.86µm
net1020,247.35µm
_01795_,247.17µm
key_reg\[27\],247µm
net501,247µm
key_reg\[96\],246.96µm
_05186_,246.84µm
net865,246.66µm
net275,246.5µm
net549,246.285µm
_07551_,245.92µm
net903,245.71µm
net211,245.59µm
_07839_,245.4µm
_08096_,245.385µm
net889,245.3µm
net184,245.265µm
_09238_,244.54µm
_09187_,244.52µm
clknet_leaf_36_clk,244.02µm
u_aes128_baseline.u_aes_core.state_reg\[43\],243.46µm
net382,243.15µm
_07069_,243.11µm
_04692_,243.07µm
net350,242.395µm
net277,242.3µm
net457,241.85µm
_04902_,241.67µm
_07632_,241.57µm
net847,241.37µm
_09312_,241.06µm
_01284_,240.865µm
