net,length_um
u_aes128_baseline.u_aes_core.round_key_reg\[9\],318.02µm
_03600_,317.56µm
_00836_,317.55µm
clknet_3_0_0_clk,316.94µm
net2078,316.15µm
_05805_,315.6µm
_09300_,314.72µm
_03958_,314.02µm
net1010,310.355µm
_01376_,310.235µm
key_reg\[4\],309.705µm
_03209_,308.64µm
_04962_,307.55µm
plaintext_reg\[24\],307.48µm
_09186_,307.2µm
net107,307.05µm
net302,306.85µm
_07324_,306.81µm
_09210_,306.8µm
_07481_,304.78µm
_09200_,304.16µm
net276,304.14µm
_09298_,303.14µm
net254,303.01µm
_04422_,302.06µm
_09314_,301.86µm
_03498_,301.68µm
net854,301.5µm
net992,300.91µm
_03682_,300.58µm
_09330_,300.25µm
key_reg\[24\],299.49µm
_00866_,299.02µm
net278,298.345µm
_03455_,297.8µm
clknet_3_1_0_clk,297.29µm
net1990,296.41µm
_05469_,295.39µm
_00874_,294.82µm
_09346_,294.56µm
net497,294.28µm
net478,294.12µm
_05837_,294.06µm
u_aes128_baseline.u_aes_core.state_reg\[27\],293.74µm
u_aes128_baseline.u_aes_core.state_reg\[45\],293.62µm
u_aes128_baseline.u_aes_core.state_reg\[89\],293.54µm
net907,293.4µm
_08513_,293.33µm
_05498_,292.43µm
_00861_,291.14µm
_04385_,290.5µm
u_aes128_baseline.u_aes_core.round_key_reg\[10\],288.19µm
net1398,287.55µm
_03608_,287.49µm
_05336_,287.48µm
net601,287.36µm
net619,287.36µm
u_aes128_baseline.u_aes_core.state_reg\[99\],287.18µm
net1204,286.34µm
_01612_,285.8µm
net520,285.74µm
net1975,284.01µm
_07290_,283.13µm
_09250_,282.7µm
net1353,282.6µm
_09274_,282.52µm
net137,282.07µm
key_reg\[101\],281.43µm
_00803_,280.54µm
_00807_,279.34µm
_07730_,279.06µm
u_aes128_baseline.u_aes_core.round_key_reg\[6\],278.86µm
_01812_,278.81µm
_07521_,276.88µm
net243,276.66µm
net908,276.315µm
_05653_,275.5µm
net328,274.015µm
_04082_,273.84µm
plaintext_reg\[4\],273.74µm
net493,273.735µm
net1900,272.57µm
_00868_,272.42µm
u_aes128_baseline.u_aes_core.round_key_reg\[18\],271.97µm
net863,271.73µm
_03053_,270.98µm
plaintext_reg\[102\],270.86µm
_07500_,270.74µm
net366,270.08µm
ciphertext_reg\[4\],269.4µm
_01379_,269.31µm
net774,268.97µm
net876,268.67µm
key_reg\[102\],268.55µm
net208,268.27µm
_05924_,267.9µm
_02683_,267.86µm
_03700_,267.79µm
net395,267.58µm
_04654_,267.32µm
_09194_,267.32µm
net1033,267.28µm
net252,266.36µm
_03735_,265.94µm
_07098_,265.9µm
_09316_,265.9µm
_01233_,265.74µm
_09192_,265.52µm
net784,265.425µm
clknet_leaf_1_clk,265.2µm
ciphertext_reg\[113\],264.62µm
u_aes128_baseline.u_aes_core.state_reg\[29\],264.34µm
net598,264.14µm
_04758_,262.93µm
net501,262.81µm
_08737_,262.68µm
net142,262.22µm
u_aes128_baseline.u_aes_core.round_key_reg\[2\],261.66µm
net385,261.63µm
_09183_,261.24µm
net1160,261.02µm
net538,259.94µm
clknet_leaf_37_clk,259.6µm
net4,259.48µm
net555,259.425µm
_03671_,258.95µm
_07863_,258.71µm
net381,258.62µm
key_reg\[27\],258.56µm
net785,258.47µm
_07839_,258.32µm
clknet_3_3_0_clk,258.31µm
_06402_,258.25µm
net776,258.04µm
_01254_,257.31µm
net419,257.23µm
_04099_,256.31µm
_02743_,256.23µm
u_aes128_baseline.u_aes_core.state_reg\[78\],256.16µm
_00816_,255.84µm
_03747_,255.29µm
ciphertext_reg\[123\],255.28µm
_01211_,254.77µm
_02023_,254.71µm
_00895_,254.66µm
net326,254.23µm
net444,253.41µm
_06415_,252.57µm
net696,252.18µm
_08479_,252.08µm
_09238_,252.06µm
net656,251.92µm
net277,251.66µm
_06556_,251.39µm
net1443,251.26µm
_01283_,251.17µm
key_reg\[96\],251.04µm
net186,250.58µm
net1020,250.52µm
u_aes128_baseline.u_aes_core.round_key_reg\[23\],250.33µm
ciphertext_reg\[119\],249.99µm
net265,249.82µm
net903,249.69µm
_01795_,249.63µm
net546,249.125µm
clknet_leaf_36_clk,249.06µm
u_aes128_baseline.u_aes_core.state_reg\[7\],248.32µm
_00838_,248.1µm
net100,248.04µm
net889,247.78µm
ciphertext_reg\[60\],247.72µm
net632,247.315µm
_05098_,247.18µm
ciphertext_reg\[5\],244.79µm
net508,244.19µm
net397,243.99µm
net433,243.81µm
u_aes128_baseline.u_aes_core.state_reg\[43\],243.78µm
_01988_,243.685µm
net1093,243.58µm
net865,243.49µm
plaintext_reg\[96\],243.17µm
_01284_,243.11µm
_09312_,243.1µm
u_aes128_baseline.u_aes_core.state_reg\[91\],242.79µm
_07580_,242µm
net773,241.965µm
plaintext_reg\[51\],241.7µm
net6,241.26µm
net350,241.255µm
net9,241.24µm
_03569_,241.16µm
_01302_,240.97µm
net684,240.945µm
_09242_,240.86µm
_03689_,240.625µm
_09266_,240.32µm
_04902_,240.3µm
net635,240.165µm
_04663_,239.81µm
ciphertext_reg\[112\],239.68µm
_05186_,239.58µm
_07632_,239.26µm
_01723_,239.22µm
net275,239.2µm
_06416_,238.74µm
_02014_,238.695µm
net457,238.39µm
_07069_,238.31µm
net5,238.22µm
net549,238.115µm
net698,237.94µm
_04381_,237.66µm
net467,237.47µm
_04669_,237.42µm
net847,236.8µm
net247,236.72µm
net45,236.44µm
net93,236.38µm
_08957_,236.2µm
net211,235.915µm
_07551_,235.84µm
net452,235.74µm
clknet_leaf_27_clk,235.66µm
key_reg\[103\],235.62µm
net270,235.28µm
_08096_,235.125µm
net722,234.7µm
net868,234.43µm
net232,234.075µm
net665,233.57µm
net1187,233.38µm
net921,233.13µm
net659,232.86µm
net460,232.71µm
net216,232.705µm
_03281_,232.425µm
net1777,232.4µm
net535,232.16µm
_02165_,232.14µm
_03526_,232.04µm
net491,231.95µm
_09065_,231.79µm
_04644_,231.61µm
_03661_,231.56µm
ciphertext_reg\[124\],231.08µm
_08548_,231.04µm
net191,230.97µm
net1158,230.89µm
net1615,230.75µm
ciphertext_reg\[52\],230.74µm
net382,230.56µm
net886,230.545µm
_03260_,230.33µm
_04256_,230.32µm
net1678,230.23µm
net1584,230.215µm
_04782_,230.2µm
net1351,230.14µm
net357,230.06µm
net398,229.86µm
_02070_,229.81µm
_04862_,229.68µm
_03902_,229.105µm
net362,229.05µm
_06710_,228.74µm
net824,228.67µm
_01288_,228.65µm
net765,228.57µm
_09219_,228.52µm
net528,228.5µm
net427,228.02µm
net759,227.945µm
u_aes128_baseline.u_aes_core.state_reg\[92\],227.66µm
net872,227.285µm
_03494_,227.26µm
net2012,227.18µm
_01902_,227.08µm
net358,227µm
_06262_,226.91µm
net525,226.895µm
net1775,226.83µm
net736,226.65µm
net812,226.65µm
u_aes128_baseline.u_aes_core.state_reg\[44\],226.5µm
net1729,226.38µm
net1870,226.1µm
net227,226.06µm
net26,226.02µm
_04692_,225.99µm
net1985,225.75µm
u_aes128_baseline.u_aes_core.state_reg\[120\],225.69µm
net1568,225.675µm
net1063,225.63µm
_07476_,225.32µm
net544,225.31µm
net1625,225.31µm
_06012_,225.2µm
net1404,225.01µm
net10,224.68µm
_05906_,224.59µm
net194,224.21µm
net387,224.105µm
net490,223.855µm
_08365_,223.7µm
_00832_,223.36µm
u_aes128_baseline.u_aes_core.round_key_reg\[30\],223.2µm
_02898_,222.9µm
net806,222.87µm
u_aes128_baseline.u_aes_core.state_reg\[111\],222.785µm
net454,222.58µm
_09319_,222.54µm
_08009_,222.125µm
net640,222.06µm
_04728_,221.705µm
_04761_,221.67µm
_04829_,221.615µm
u_aes128_baseline.u_aes_core.state_reg\[103\],221.58µm
net412,221.485µm
net798,221.21µm
net27,221.18µm
net553,221.1µm
net846,221.005µm
net94,220.97µm
u_aes128_baseline.u_aes_core.round_key_reg\[1\],220.86µm
_04650_,220.81µm
_09320_,220.78µm
_05970_,220.6µm
_07354_,220.28µm
net1436,220.09µm
net396,220.02µm
_01711_,219.97µm
net836,219.71µm
clknet_leaf_61_clk,219.66µm
_05308_,219.65µm
_01246_,219.55µm
_08020_,219.505µm
_01294_,219.175µm
net435,219.09µm
_07036_,219.06µm
net905,219.06µm
_04665_,219.035µm
_04783_,218.73µm
net468,218.67µm
net895,218.59µm
net28,218.52µm
_01740_,218.27µm
_01624_,217.8µm
net1599,217.625µm
net498,217.61µm
net711,217.59µm
clknet_leaf_13_clk,217.5µm
net589,217.47µm
net361,217.41µm
net8,217.38µm
_04647_,217.085µm
_07679_,216.74µm
net958,216.59µm
_03673_,216.47µm
_02963_,216.26µm
net400,216.115µm
net960,215.965µm
_07873_,215.82µm
net692,215.515µm
_09296_,215.5µm
_03665_,215.4µm
_06108_,215.28µm
_06063_,215.18µm
net41,214.94µm
net201,214.6µm
_01324_,214.4µm
net667,214.35µm
_03249_,214.32µm
_05016_,214.22µm
_07655_,214.185µm
net724,214.17µm
u_aes128_baseline.u_aes_core.round_key_reg\[4\],214.1µm
net1626,214.04µm
_06285_,214.02µm
net1758,214µm
net1679,212.76µm
net1589,212.73µm
_06167_,212.69µm
net869,212.55µm
net741,212.42µm
net230,212.275µm
_01381_,212.205µm
_01527_,212.18µm
_01996_,212.1µm
_07945_,211.84µm
net735,211.71µm
_02270_,211.67µm
net1059,211.66µm
net342,211.55µm
key_reg\[29\],211.46µm
_05933_,211.24µm
net805,211.2µm
ciphertext_wire\[121\],211µm
net337,210.92µm
_04520_,210.915µm
_06277_,210.855µm
net511,210.85µm
net66,210.76µm
net167,210.68µm
net241,210.66µm
net548,210.6µm
_07995_,210.565µm
net87,210.44µm
net892,210.44µm
ciphertext_reg\[51\],210.4µm
_01674_,210.3µm
net683,210.3µm
net660,210.28µm
clknet_leaf_39_clk,210.24µm
_07996_,210.13µm
net1728,210.03µm
net505,209.935µm
_01374_,209.9µm
net258,209.86µm
_01945_,209.7µm
_04682_,209.6µm
net1532,209.48µm
_04763_,209.45µm
_06271_,209.45µm
net881,209.17µm
_01227_,208.63µm
ciphertext_reg\[1\],208.38µm
net1681,208.26µm
ciphertext_wire\[122\],207.99µm
_08011_,207.98µm
_01336_,207.94µm
net783,207.88µm
_07908_,207.78µm
net1052,207.77µm
net432,207.63µm
net7,207.52µm
net510,207.51µm
net188,207.33µm
_03267_,207.315µm
_07918_,207.26µm
net2076,207.24µm
_06259_,207.16µm
net703,207.15µm
ciphertext_reg\[24\],206.98µm
_04794_,206.72µm
net253,206.65µm
net1630,206.21µm
ciphertext_reg\[0\],206.1µm
net464,205.77µm
net526,205.615µm
net479,205.57µm
_01464_,205.56µm
net411,205.36µm
net407,205.205µm
_01956_,205.06µm
net418,205.035µm
net88,205.02µm
_01722_,204.975µm
net206,204.91µm
_01264_,204.9µm
net2011,204.9µm
net116,204.82µm
net1916,204.79µm
_05162_,204.77µm
_01463_,204.615µm
_04090_,204.57µm
plaintext_reg\[37\],204.1µm
_02040_,204.09µm
_04091_,203.935µm
_04550_,203.81µm
u_aes128_baseline.u_aes_core.state_reg\[30\],203.79µm
_01052_,203.16µm
net274,203.11µm
_08194_,202.995µm
_03778_,202.925µm
net1447,202.83µm
net368,202.62µm
_07853_,202.48µm
_04711_,202.34µm
_03415_,202.32µm
_01481_,202.2µm
net649,202.18µm
_08328_,202.16µm
net349,202.15µm
net513,202.13µm
net249,202.095µm
net245,202µm
_08610_,201.94µm
u_aes128_baseline.u_aes_core.state_reg\[38\],201.82µm
_05955_,201.74µm
net1360,201.71µm
u_aes128_baseline.u_aes_core.round_key_reg\[25\],201.54µm
_05624_,201.45µm
net1902,201.35µm
_07843_,201.285µm
net377,201.23µm
net1296,201.225µm
_07766_,201.18µm
net1823,201.08µm
net811,200.93µm
net551,200.9µm
net1806,200.73µm
net609,200.44µm
net193,200.42µm
net630,200.34µm
net873,200.24µm
net138,200.19µm
_04562_,200.13µm
ciphertext_reg\[115\],200.11µm
_06144_,200.09µm
net184,199.925µm
net469,199.89µm
_03314_,199.51µm
net244,199.27µm
net271,198.99µm
u_aes128_baseline.u_aes_core.state_reg\[23\],198.855µm
_01983_,198.77µm
_02645_,198.7µm
_01273_,198.69µm
net115,198.68µm
net415,198.665µm
_06188_,198.61µm
net219,198.32µm
net771,197.42µm
net823,197.345µm
u_aes128_baseline.u_aes_core.round_key_reg\[3\],197.2µm
_04765_,197.13µm
net732,196.805µm
net30,196.78µm
net1355,196.715µm
_06040_,196.64µm
_01650_,195.98µm
net1435,195.94µm
_05439_,195.92µm
net532,195.78µm
net294,195.7µm
net1579,195.6µm
_09236_,195.5µm
net700,195.17µm
net1205,195.13µm
net866,195µm
net835,194.9µm
_01040_,194.66µm
net875,194.64µm
ciphertext_reg\[67\],194.44µm
_04092_,194.415µm
_02004_,194.41µm
net181,194.395µm
net1704,193.96µm
net447,193.93µm
net458,193.86µm
_06551_,193.79µm
_08068_,193.59µm
u_aes128_baseline.u_aes_core.round_key_reg\[0\],193.45µm
net484,193.45µm
plaintext_reg\[41\],193.3µm
_06786_,193.29µm
net386,193.27µm
_04675_,192.94µm
net897,192.775µm
net272,192.75µm
net364,192.74µm
net627,192.735µm
_01808_,192.72µm
net475,192.72µm
net713,192.57µm
_07793_,192.52µm
_03997_,192.48µm
net1209,192.46µm
_01249_,192.45µm
net1533,192.43µm
net515,192.42µm
_01251_,192.1µm
_01716_,192.045µm
net1058,191.92µm
_01994_,191.9µm
net344,191.85µm
net1302,191.56µm
net234,191.5µm
net482,191.44µm
net196,191.37µm
net341,191.36µm
_01368_,191.16µm
net1343,190.98µm
net140,190.84µm
net149,190.74µm
_01786_,190.69µm
net655,190.51µm
net1488,190.44µm
net809,190.34µm
_09069_,190.33µm
net248,190.26µm
clknet_leaf_26_clk,190.17µm
net238,190.15µm
_06041_,190.075µm
net620,190.02µm
net757,190µm
_01245_,189.94µm
_01632_,189.89µm
_08069_,189.795µm
net1824,189.62µm
net251,189.565µm
_01505_,189.42µm
net861,189.325µm
net213,189.27µm
net625,189.19µm
_06054_,189.15µm
net557,189.13µm
_09112_,188.98µm
_09353_,188.96µm
net380,188.85µm
net894,188.68µm
_06424_,188.52µm
net1044,188.49µm
net697,188.485µm
ciphertext_reg\[125\],188.44µm
_01267_,188.395µm
_01889_,188.365µm
_07650_,188.21µm
net1847,188.2µm
_02058_,188.13µm
_05019_,188.08µm
net155,188.08µm
_04772_,188.01µm
net676,187.87µm
clknet_leaf_57_clk,187.78µm
_01240_,187.77µm
_01326_,187.71µm
net1380,187.71µm
net416,187.655µm
net1981,187.61µm
net1629,187.58µm
net1898,187.55µm
_06168_,187.43µm
_04106_,187.415µm
_06387_,187.4µm
_09108_,187.24µm
_01310_,187.19µm
net963,187.055µm
net859,187µm
_04199_,186.87µm
net1923,186.85µm
_03684_,186.74µm
u_aes128_baseline.u_aes_core.state_reg\[47\],186.73µm
_02661_,186.61µm
net807,186.36µm
net1801,186.26µm
_08744_,186.24µm
net319,186.12µm
net1582,185.98µm
net545,185.96µm
net825,185.87µm
net1539,185.82µm
_01623_,185.785µm
net1354,185.71µm
net1255,185.47µm
net466,185.38µm
net688,185.38µm
ciphertext_reg\[105\],185.34µm
net1434,185.2µm
net1929,185.17µm
_09020_,185µm
_06414_,184.7µm
_07851_,184.625µm
net367,184.54µm
net1520,184.52µm
ciphertext_reg\[91\],184.485µm
_09284_,184.48µm
_01614_,184.34µm
_06164_,184.17µm
_03660_,184.14µm
net291,184.1µm
_04539_,184.02µm
net623,183.965µm
net877,183.95µm
net1761,183.95µm
net1126,183.88µm
net496,183.525µm
net392,183.36µm
_07803_,183.33µm
ciphertext_reg\[59\],183.18µm
net281,183.18µm
_06388_,183.155µm
clknet_leaf_21_clk,183.07µm
net902,183µm
net343,182.975µm
_01485_,182.95µm
_01329_,182.84µm
net1808,182.65µm
_01483_,182.64µm
net527,182.56µm
net431,182.44µm
net1161,182.395µm
_01705_,182.26µm
key_reg\[109\],182.235µm
net664,182.17µm
net574,182.08µm
_01865_,181.805µm
_02039_,181.77µm
net1104,181.705µm
_07415_,181.62µm
net1770,181.61µm
clknet_leaf_19_clk,181.48µm
net1773,181.45µm
net1005,181.27µm
net1193,181.22µm
net242,181.11µm
_04131_,180.99µm
net705,180.9µm
_04154_,180.89µm
net1105,180.68µm
_04729_,180.66µm
_08444_,180.58µm
net1437,180.28µm
_01317_,180.23µm
_04681_,180.135µm
_06078_,180.1µm
net770,180.09µm
net858,180.04µm
ciphertext_reg\[109\],179.98µm
_03171_,179.96µm
net267,179.93µm
_07200_,179.9µm
_04165_,179.89µm
net1050,179.88µm
net2043,179.76µm
_01991_,179.46µm
net209,179.375µm
net110,179.35µm
net1815,179.28µm
_02087_,179.12µm
net36,179.04µm
_07912_,178.79µm
ciphertext_reg\[107\],178.74µm
ciphertext_wire\[125\],178.74µm
net706,178.73µm
_01984_,178.62µm
net542,178.6µm
ciphertext_reg\[126\],178.52µm
net1232,178.5µm
_06260_,178.25µm
net1774,178.07µm
net489,178.045µm
_04095_,177.9µm
_04889_,177.9µm
net187,177.89µm
net1253,177.75µm
net1395,177.7µm
net585,177.58µm
_09178_,177.52µm
net430,177.42µm
net228,177.36µm
_06819_,177.24µm
_07734_,177.2µm
net477,177.175µm
_04505_,176.71µm
net436,176.62µm
_04094_,176.61µm
_03257_,176.51µm
net891,176.46µm
net207,176.445µm
net1796,176.33µm
net264,176.31µm
net983,176.1µm
net108,176.01µm
net185,175.965µm
_06333_,175.87µm
_07997_,175.83µm
net957,175.81µm
_06589_,175.79µm
_06426_,175.77µm
net394,175.72µm
_01232_,175.64µm
net131,175.61µm
net429,175.28µm
net1256,175.2µm
net1356,175.195µm
_04843_,174.87µm
net1476,174.83µm
_09306_,174.78µm
_01247_,174.64µm
_01274_,174.63µm
_03914_,174.58µm
net654,174.565µm
_05465_,174.485µm
_08043_,174.48µm
net1007,174.48µm
net801,174.465µm
net767,174.46µm
net229,174.455µm
_03310_,174.32µm
net455,174.28µm
_04731_,174.27µm
net900,174.155µm
_04494_,174.085µm
net189,173.845µm
_03683_,173.81µm
net203,173.765µm
_03695_,173.76µm
net694,173.7µm
_03353_,173.62µm
_06630_,173.58µm
net999,173.49µm
net163,173.23µm
net355,172.935µm
net1674,172.79µm
net239,172.67µm
net1206,172.65µm
net1737,172.65µm
net1016,172.63µm
net445,172.58µm
_07845_,172.545µm
_05428_,172.44µm
_07667_,172.395µm
_06261_,172.32µm
net1352,172.27µm
net139,172.2µm
net718,172.09µm
u_aes128_baseline.u_aes_core.state_reg\[66\],172.075µm
net1056,171.91µm
net671,171.88µm
_08090_,171.72µm
key_reg\[31\],171.52µm
net1152,171.51µm
_06153_,171.44µm
net321,171.34µm
net413,171.22µm
net1048,171.14µm
net1536,171.09µm
u_aes128_baseline.u_aes_core.state_reg\[2\],170.88µm
net622,170.86µm
_01362_,170.8µm
net162,170.8µm
